OID,ID_source,X_source,Y_source,ID_end,X_end,Y_end
208,2,216084.5743,9280696.494,48,218118.7604,9299520.137
209,2,216084.5743,9280696.494,49,219637.1984,9299726.934
210,2,216084.5743,9280696.494,50,220419.714,9300413.145
211,2,216084.5743,9280696.494,51,217162.6284,9301422.638
212,2,216084.5743,9280696.494,52,218197.036,9301316.688
213,2,216084.5743,9280696.494,53,219664.3887,9301176.277
214,2,216084.5743,9280696.494,54,220516.7801,9301220.298
215,2,216084.5743,9280696.494,55,216939.8612,9302814.292
216,2,216084.5743,9280696.494,56,218061.6219,9302699.155
217,2,216084.5743,9280696.494,57,219742.7915,9302548.919
218,2,216084.5743,9280696.494,58,220514.1514,9302540.41
219,2,216084.5743,9280696.494,59,216902.3065,9304234.998
220,2,216084.5743,9280696.494,60,218113.5263,9304317.713
221,2,216084.5743,9280696.494,61,219635.6639,9304264.923
222,2,216084.5743,9280696.494,62,220655.7449,9304438.424
223,2,216084.5743,9280696.494,63,215661.3617,9306200.505
224,2,216084.5743,9280696.494,64,216713.4651,9305793.955
225,2,216084.5743,9280696.494,65,218099.6192,9305530.166
226,2,216084.5743,9280696.494,66,219563.8169,9305358.731
227,2,216084.5743,9280696.494,67,220601.9682,9305256.254
228,2,216084.5743,9280696.494,68,215433.1993,9307233.695
229,2,216084.5743,9280696.494,69,216480.2273,9307203.214
230,2,216084.5743,9280696.494,70,215297.0766,9308832.45
231,2,216084.5743,9280696.494,71,216566.8341,9308784.236
232,2,216084.5743,9280696.494,72,217402.3672,9309197.326
233,2,216084.5743,9280696.494,73,214106.0865,9310659.621
234,2,216084.5743,9280696.494,74,215133.008,9310244.576
235,2,216084.5743,9280696.494,75,216262.0685,9310105.391
236,2,216084.5743,9280696.494,76,217416.2802,9309497.915
237,2,216084.5743,9280696.494,77,211244.8515,9312408.637
238,2,216084.5743,9280696.494,78,212292.679,9312084.35
239,2,216084.5743,9280696.494,79,213508.3264,9311480.489
240,2,216084.5743,9280696.494,80,215139.2181,9311375.212
241,2,216084.5743,9280696.494,81,216638.4208,9311390.242
242,2,216084.5743,9280696.494,82,217423.7559,9311992.719
243,2,216084.5743,9280696.494,83,211079.6171,9313240.822
244,2,216084.5743,9280696.494,84,211929.9916,9313112.723
245,2,216084.5743,9280696.494,85,213536.9892,9312765.346
246,2,216084.5743,9280696.494,86,214667.1934,9313183.281
247,2,216084.5743,9280696.494,87,210844.4154,9314757.328
248,2,216084.5743,9280696.494,88,211546.2429,9314603.112
249,2,216084.5743,9280696.494,89,210709.9657,9316316.166
250,2,216084.5743,9280696.494,90,211447.72,9316404.472
251,2,216084.5743,9280696.494,91,210732.3243,9317709.482
252,2,216084.5743,9280696.494,92,211616.5896,9317879.936
253,2,216084.5743,9280696.494,93,210844.2539,9319215.868
254,2,216084.5743,9280696.494,94,211954.5057,9319348.685
255,2,216084.5743,9280696.494,95,211028.305,9320653.372
256,2,216084.5743,9280696.494,96,211924.2638,9320704.608
257,2,216084.5743,9280696.494,97,211236.2975,9321940.052
258,2,216084.5743,9280696.494,98,211903.2427,9322311.986
259,2,216084.5743,9280696.494,99,212989.4479,9322805.754
260,2,216084.5743,9280696.494,100,212217.2889,9323724.712
261,2,216084.5743,9280696.494,101,213619.7601,9323859.218
262,2,216084.5743,9280696.494,102,214916.8822,9324213.013
263,2,216084.5743,9280696.494,103,216478.0363,9324100.697
264,2,216084.5743,9280696.494,104,212580.3473,9325052.909
265,2,216084.5743,9280696.494,105,213479.6808,9325425.55
266,2,216084.5743,9280696.494,106,215210.3882,9325319.869
267,2,216084.5743,9280696.494,107,216275.3863,9325343.034
268,2,216084.5743,9280696.494,108,212840.5247,9326071.444
269,2,216084.5743,9280696.494,109,213697.556,9326418.019
270,2,216084.5743,9280696.494,110,215163.1994,9326519.001
271,2,216084.5743,9280696.494,111,216321.108,9326680.555
272,2,216084.5743,9280696.494,112,216491.3947,9328222.873
273,2,216084.5743,9280696.494,113,218278.483,9328720.51
274,2,216084.5743,9280696.494,114,216417.0588,9329913.647
275,2,216084.5743,9280696.494,115,218034.6445,9329645.129
276,2,216084.5743,9280696.494,116,216688.391,9331236.678
277,2,216084.5743,9280696.494,117,217683.2193,9330807.337
278,2,216084.5743,9280696.494,118,215800.3107,9333083.425
279,2,216084.5743,9280696.494,119,216539.9791,9332752.272
280,2,216084.5743,9280696.494,120,217407.245,9333055.124
281,2,216084.5743,9280696.494,121,215777.8205,9333679.116
